Donor First Name,Donor Last Name,Donor Email Address,Date of Donation,Dollar Amount,Note
Wanda,Maximoff,wanda.maximoff@email.com,2019-10-14,11.94,Recurring donation
Tony,Stark,tony.stark@email.com,2019-11-11,0.75,Online donation
Ash,Ketchum,ash.ketchum@charity.net,2022-06-19,7.54,Corporate match
Lois,Lane,lois.lane@email.com,2025-10-14,0.69,Online donation
Steve,Rogers,steve.rogers@charity.net,2024-12-08,1.34,In honor of a friend
Ash,Ketchum,ash.ketchum@example.org,2022-02-26,41.58,Recurring donation
Tony,Chopper,tony.chopper@nonprofit.org,2019-09-24,1.65,Recurring donation
Harley,Quinn,harley.quinn@example.org,2025-02-28,1724.76,Corporate match
Diana,Prince,diana.prince@email.com,2020-05-11,0.72,Gala pledge
Diana,Prince,diana.prince@charity.net,2023-04-08,1.07,Corporate match
SpongeBob,SquarePants,spongebob.squarepants@example.org,2021-04-01,1.99,Online donation
SpongeBob,SquarePants,spongebob.squarepants@charity.net,2023-10-24,0.89,
SpongeBob,SquarePants,spongebob.squarepants@charity.net,2023-01-05,1.31,
Jean,Grey,jean.grey@example.org,2022-07-02,0.43,Corporate match
Morty,Smith,morty.smith@charity.net,2022-10-02,36.91,In honor of a friend
Lois,Lane,lois.lane@charity.net,2020-09-20,1.21,Recurring donation
Morty,Smith,morty.smith@charity.net,2023-07-11,37.62,Recurring donation
Jean,Grey,jean.grey@charity.net,2025-11-28,0.51,
Diana,Prince,diana.prince@example.org,2020-10-11,0.53,
Barbara,Gordon,barbara.gordon@example.org,2022-01-30,46.32,Gala pledge
Jean,Grey,jean.grey@email.com,2021-08-02,0.38,Gala pledge
Ash,Ketchum,ash.ketchum@charity.net,2023-10-22,21.12,Online donation
Diana,Prince,diana.prince@email.com,2020-09-21,1.1,Gala pledge
Wanda,Maximoff,wanda.maximoff@charity.net,2024-12-15,26.5,Recurring donation
Steve,Rogers,steve.rogers@email.com,2024-09-22,1.73,Corporate match
Scott,Summers,scott.summers@nonprofit.org,2025-03-10,896.63,
Mickey,Mouse,mickey.mouse@nonprofit.org,2023-03-13,221.7,
Tony,Stark,tony.stark@nonprofit.org,2023-04-15,1.28,
Peter,Parker,peter.parker@nonprofit.org,2025-01-08,16.19,In honor of a friend
Tony,Stark,tony.stark@email.com,2019-08-14,0.62,In honor of a friend
Steve,Rogers,steve.rogers@charity.net,2025-09-21,1.42,In honor of a friend
Lois,Lane,lois.lane@example.org,2025-03-07,1.42,Corporate match
Ash,Ketchum,ash.ketchum@charity.net,2021-09-04,8.43,
Tony,Chopper,,2023-02-18,1.48,
Tony,Stark,tony.stark@nonprofit.org,2019-12-26,0.89,In honor of a friend
Jean,Grey,jean.grey@example.org,2022-02-23,0.88,
Lois,Lane,lois.lane@email.com,2020-09-15,0.91,In honor of a friend
Diana,Prince,diana.prince@charity.net,2023-09-05,0.56,
Steve,Rogers,steve.rogers@nonprofit.org,2019-10-09,1.18,Gala pledge
Tony,Chopper,tony.chopper@email.com,2023-07-01,1.33,
Ron,Weasley,ron.weasley@charity.net,2023-11-30,31080.96,Gala pledge
Velma,Dinkley,velma.dinkley@email.com,2024-03-01,151.5,
Mickey,Mouse,mickey.mouse@charity.net,2024-09-22,216.86,Gala pledge
Jean,Grey,jean.grey@nonprofit.org,2024-06-22,0.92,In honor of a friend
