First Name,Last Name,Email Address,Net Worth,Company,Title,Address,City,State,Year
Kai,Taylor,kai.taylor@example.org,154724107.96,Helping Hands NGO,Volunteer,139 Oak Ave,Wilmington,DE,2020
Hermione,Granger,hermione.granger@example.org,59595322.62,Ministry of Magic,Department Head,9 Spell St,Hockessin,DE,2024
Kendall,Taylor,kendall.taylor@example.org,1816567.15,Global Solutions,Manager,617 Chestnut Ln,Greenville,DE,2023
Kennedy,Clark,kennedy.clark@example.org,715068.09,Hope Foundatoin,Director,629 Spruce Ave,Smyrna,DE,2021
Tony,Stark,tony.stark@example.org,6439661709.13,Stark Industries,CEO,10880 Malibu Point,Greenville,DE,2023
Kai,Adams,kai.adams@example.org,5096.71,Acme Corp,CTO,212 Cedar St,Claymont,DE,2024
Terry,Adams,terry.adams@example.org,849518.54,Education First,Manager,258 Spruce Ln,Milford,DE,2020
Ash,Ketchum,ash.ketchum@example.org,5166.03,Pokemon League,Trainer,8 Pallet Pkwy,Rehoboth Beach,DE,2022
Rick,Sanchez,rick.sanchez@example.org,179271921.92,Space Cruiser Inc.,Scientist,1 Infinite Rick,Bear,DE,2021
Ash,Ketchum,ash.ketchum@example.org,5234.39,Pokemon League,Trainer,8 Pallet Pkwy,Rehoboth Beach,DE,2021
Kendall,Moore,kendall.moore@example.org,8508.72,Education First,CFO,528 Chestnut Ln,Greenville,DE,2021
Jamie,Thompson,jamie.thompson@example.org,,Global Solutions,Analyst,949 Main St,Elkton,MD,2024
Sage,Garcia,sage.garcia@example.org,6431.73,Blue Ocean Trust,CTO,550 Spruce Dr,New Castle,DE,2025
Drew,Campbell,drew.campbell@example.org,3661.29,Tech for Good,Director,938 Market Dr,Elkton,MD,2021
Steve,Rogers,steve.rogers@example.org,1235974.46,USO,Catpain,1776 Freedom Rd,Seaford,DE,2025
Tristan,Roberts,tristan.roberts@example.org,1132724.28,Green Planet,Analyst,807 Cedar Dr,Middletown,DE,2020
Tristan,Wilson,tristan.wilson@example.org,748317.83,Green Planet,Analyst,848 Oak Rd,Greenville,DE,2025
Harper,Roberts,harper.roberts@example.org,874819.32,Global Solutions,Manager,611 Maple Blvd,Lewes,DE,2023
Skyler,Robinson,skyler.robinson@example.org,233819035.36,Hope Foundation,Director,990 Birch Ln,Hockessin,DE,2022
Elliot,Lewis,elliot.lewis@example.org,449373986.97,Bright Future Foundation,CFO,329 Pine Rd,Cape May,NJ,2022
Jesse,Jones,jesse.jones@example.org,909524.78,Global Solutions,Director,871 Market St,Elkton,MD,2022
Avery,Davis,avery.davis@example.org,3028.46,Community Builders,Coordinator,167 OakS t,Claymont,DE,2024
Kai,Taylor,kai.taylor@example.org,,Helping Hands NGO,Volunteer,139 Oak Ave,Wilmington,DE,2022
Micah,Robinson,micah.robinson@example.org,3338.45,Tech for Good,Manager,336 Pine Blvd,Rehoboth Beach,DE,2021
Jesse,Moore,jesse.moore@example.org,8546.7,Helpin gHands NGO,Volunteer,284 Maple Blvd,Elkton,MD,2025
Blake,Jones,blake.jones@example.org,171402293.02,Sunrise Health,Volunteer,474 Market Ln,Townsend,DE,2021
Diana,Prince,diana.prince@example.org,146130443.12,Smithsonian,Curator,300 Amazon Way,Lewes,DE,2020
Jesse,Martin,jesse.martin@example.org,1168.97,Helping Hands NGO,CTO,929 Market Ln,Townsend,DE,2021
Marley,Green,marley.green@example.org,2140370.06,Acme Corp,CTO,675 Elm St,Milford,DE,2024
Oakley,Smith,oakley.smith@example.org,5949.12,Sunrise Health,Associate,789 Market Dr,Greenville,DE,2021
Charlie,Walker,charlie.walker@example.org,293.26,Tech for Good,Associate,537 Oak Rd,Newark,DE,2023
Logan,Lee,logan.lee@example.org,8.59,Green Planet,Manager,702 Birch Dr,Bear,DE,2023
Ron,Weasley,ron.weasley@example.org,849947.01,Weasleys' Wizard Wheezes,Manager,94 Burrow Ln,Milford,DE,2020
Marley,Green,marley.green@example.org,1944161.21,Acme Corp,CTO,675 Elm St,Milford,DE,2020
Lisa,Simpson,lisa.simpson@example.org,302.74,Springfield Elementary,Student,742 Evergreen Ter,Elkton,MD,2024
Blake,Martin,blake.martin@example.org,3087.32,Community Builders,Coordniator,871 Market St,Hockessin,DE,2021
Marley,Williams,marley.williams@example.org,2974.94,Bright Future Foundation,Associate,156 Spruce Dr,Rehoboth Beach,DE,2022
Alex,Thompson,alex.thompson@example.org,129206841.51,Global Solutions,Volunteer,,Milford,DE,2025
Natasha,Romanoff,natasha.romanoff@example.org,1835486.31,SHIELD,Agent,007 Widow Ln,New Castle,DE,2025
Diana,Prince,diana.prince@example.org,144939439.13,Smithsonian,Curator,300 Amazon Way,Lewes,DE,2022
Blake,Jones,blake.jones@example.org,175560675.13,Sunrise Health,Volunteer,474 Market Ln,Townsend,DE,2023
Steve,Rogers,steve.rogers@example.org,1114317.68,USO,Captain,1776 Fredeom Rd,Seaford,DE,2020
Velma,Dinkley,velma.dinkley@example.org,1248352.13,Mystery Inc.,Detective,13 Scooby Ct,Middletown,DE,2022
