First Name,Last Name,Email Address,Net Worth,Company,Title,Address,City,State,Year
Diana,Prince,diana.prince@example.org,219080973.59,Smithsonian,Curator,300 Amazon Way,Lewes,DE,2015
Morty,Smith,morty.smith@example.org,8412.56,Smith Household,Student,31 Citadel Way,Bear,DE,2016
Barbara,Gordon,barbara.gordon@example.org,1487695.1,Gotham PD,IT Specialist,403 Oracle Ave,Wilmington,DE,2023
Peter,Parker,peter.parker@example.org,5967.43,Daily Bugle,Photojournalist,314 Spider St,Dover,DE,2017
Ron,Weasley,ron.weasley@example.org,1991956.09,Weasleys' Wizard Wheezes,Manager,94 Burrow Ln,Milford,DE,2016
SpongeBob,SquarePants,spongebob.squarepants@example.org,1486.73,Krusty Krab,Fry Cook,124 Conch St,Rehoboth Beach,DE,2025
Lois,Lane,lois.lane@example.org,1617711.57,Daily Planet,Reporter,50 Planet Sq,Newark,DE,2018
Lois,Lane,lois.lane@example.org,1481403.08,Daily Planet,Reporter,50 Planet Sq,Newark,DE,2016
Wanda,Maximoff,wanda.maximoff@example.org,330997617.01,Avengers,Member,616 Scarlet Dr,Greenville,DE,2016
Hermione,Granger,hermione.granger@example.org,261922027.57,Minisrty of Magic,Department Head,9 Spell St,Hockessin,DE,2023
Peter,Parker,peter.parker@example.org,6081.08,Daily Bugle,Photojournalist,314 Spider St,Dover,DE,2022
Peter,Parker,peter.parker@example.org,6.08,Daily Bugle,Photojournalist,314 Spider St,Dover,DE,2022
Jean,Grey,jean.grey@example.org,123225348.08,Xavier Institute,Teacher,201 Mutant Way,Middletown,DE,2021
Tony,Chopper,tony.chopper@example.org,1228611.65,Straw Hat Crew,Doctor,Going Merry,Lewes,DE,2015
Jean,Grey,jean.grey@example.org,103365.39,Xavier Institute,Teacher,201 Mutant Way,Middletown,DE,2015
Ash,Ketchum,ash.ketchum@example.org,5441.27,Pokemon eLague,Trainer,8 Pallet Pkwy,Rehoboth Beach,DE,2025
Wanda,Maximoff,wanda.maximoff@example.org,330997.62,Avengers,Member,616 Scarlet Dr,Greenville,DE,2016
Rick,Sanchez,rick.sanchez@example.org,485813528.73,Space Cruiser Inc.,Scientist,1 Infinite Rick,Bear,DE,2015
Patrick,Star,patrick.star@example.org,7468.29,Krabby Krab,Line Cook,42 Ocean Ave,Ocean City,MD,2021
Clark,Kent,clark.kent@example.org,1729790.81,Daily Planet,Reporter,12 Krypton Blvd,Smyrna,DE,2025
Lisa,Simpson,lisa.simpson@example.org,9286.51,Springfield Elementary,Student,742 Evergreen Ter,Elkton,MD,2019
