First Name,Last Name,Email Address,Datetime,Action,Email Subject Line
Wanda,Maximoff,wanda.maximoff@example.org,2020-10-01 11:45:16,Sent,Holiday meal service needs you
Peter,Parker,peter.parker@example.org,2020-05-31 19:10:26,Sent,Spring fundraiser kicks off today
Clark,Kent,clark.kent@example.org,2020-08-13 23:48:00,Sent,We smashed our target — thanks to you!
Lois,Lane,lois.lane@example.org,2020-10-07 13:17:50,Sent,Your gift is changing lives
Clark,Kent,clark.kent@example.org,2020-05-21 00:23:54,Sent,Your gift is changing lives
Homer,Simpson,homer.simpson@example.org,2020-11-06 19:36:10,Sent,Holiday meal service needs you
Morty,Smith,morty.smith@example.org,2020-03-22 06:12:14,Sent,Exclusive update for supporters
Ash,Ketchum,ash.ketchum@example.org,2020-11-15 19:45:34,Sent,Exclusive update for supporters
Natasha,Romanoff,natasha.romanoff@example.org,2020-02-02 07:49:44,Opened,Spring fundraiser kicks off today
Ron,Weasley,ron.weasley@example.org,2020-12-03 07:56:12,Sent,Upcoming community cleanup — join us
Scott,Summers,scott.summers@example.org,2020-06-18 04:43:23,Sent,Upcoming community cleanup — join us
Velma,Dinkley,velma.dinkley@example.org,2020-02-14 03:56:26,Sent,We smashed our target — thanks to you!
Bruce,Wayne,bruce.wayne@example.org,2020-06-29 16:27:32,Opened,Spring fundraiser kicks off today
Barbara,Gordon,barbara.gordon@example.org,2020-09-18 10:36:56,Sent,Help us reach our goal!
Wanda,Maximoff,wanda.maximoff@example.org,2020-12-06 13:42:01,Opened,Thank you for being part of the mission
Patrick,Star,patrick.star@example.org,2020-07-22 06:20:28,Sent,Your gift is changing lives
Bruce,Wayne,bruce.wayne@example.org,2020-10-15 21:12:00,Opened,Thank you for being part of the mission
Homer,Simpson,homer.simpson@example.org,2020-02-23 00:37:43,Sent,Volunteer Spotlight: You make it happen
Lois,Lane,lois.lane@example.org,2020-12-04 19:16:27,Clicked,Join the food drive next week
Harley,Quinn,harley.quinn@example.org,2020-11-30 20:21:55,Sent,Help us reach our goal!
Steve,Rogers,steve.rogers@example.org,2020-09-15 14:38:39,Sent,Spring fundraiser kicks off today
Velma,Dinkley,velma.dinkley@example.org,2020-10-02 22:43:15,Opened,Holiday meal service needs you
Bugs,Bunny,bugs.bunny@example.org,2020-09-25 17:07:21,Sent,Exclusive update for supporters
Rick,Sanchez,rick.sanchez@example.org,2020-06-03 00:27:23,Sent,Help us reach our goal!
Harley,Quinn,harley.quinn@example.org,2020-07-19 23:09:11,Sent,Help us reach our goal!
Wanda,Maximoff,wanda.maximoff@example.org,2020-12-15 16:30:48,Opened,See your impact this month
Clark,Kent,clark.kent@example.org,2020-03-10 02:55:33,Opened,Tech workshop registration now open
